Geographic Area,Population Estimate
Alabama,"5,074,296"
Alaska,"733,583"
Arizona,"7,359,197"
Arkansas,"3,045,637"
California,"39,029,342"
Colorado,"5,839,926"
Connecticut,"3,626,205"
Delaware,"1,018,396"
District of Columbia,"671,803"
Florida,"22,244,823"
Georgia,"10,912,876"
Hawaii,"1,440,196"
Idaho,"1,939,033"
Illinois,"12,582,032"
Indiana,"6,833,037"
Iowa,"3,200,517"
Kansas,"2,937,150"
Kentucky,"4,512,310"
Louisiana,"4,590,241"
Maine,"1,385,340"
Maryland,"6,164,660"
Massachusetts,"6,981,974"
Michigan,"10,034,113"
Minnesota,"5,717,184"
Mississippi,"2,940,057"
Missouri,"6,177,957"
Montana,"1,122,867"
Nebraska,"1,967,923"
Nevada,"3,177,772"
New Hampshire,"1,395,231"
New Jersey,"9,261,699"
New Mexico,"2,113,344"
New York,"19,677,151"
North Carolina,"10,698,973"
North Dakota,"779,261"
Ohio,"11,756,058"
Oklahoma,"4,019,800"
Oregon,"4,240,137"
Pennsylvania,"12,972,008"
Rhode Island,"1,093,734"
South Carolina,"5,282,634"
South Dakota,"909,824"
Tennessee,"7,051,339"
Texas,"30,029,572"
Utah,"3,380,800"
Vermont,"647,064"
Virginia,"8,683,619"
Washington,"7,785,786"
West Virginia,"1,775,156"
Wisconsin,"5,892,539"
Wyoming,"581,381"
Puerto Rico,"3,221,789"
