lastrevid,prediction
114406864,Stub
1173789863,C
1143473983,C
1180043716,B
1180128548,B
1166015902,Start
1155236230,C
1165644511,Start
1160493671,GA
1166206343,Start
1172245542,GA
1172134285,C
1166332037,C
1179078811,C
1165909718,C
1165909823,C
1105978061,GA
1168466910,C
1166018950,Start
1166068968,C
1166180747,C
1166180993,Start
1173287337,C
1166208963,Start
1166092446,C
1166230264,Start
1166231481,Start
1166330933,C
1170770819,C
1158753496,C
1165905202,C
1178540000,Start
1171417115,C
1166207344,Start
1172406113,GA
1172694539,GA
1176653257,C
1176472931,C
1179772354,B
1178593047,B
1177492957,GA
1179353003,GA
1169701774,GA
1179418728,B
1178988673,B
1167334037,C
1179986221,GA
1174393290,C
1176049382,C
1165748058,C
1166181157,C
1175988040,C
1166210252,C
1165896955,C
1174026676,C
1165902345,C
1165906934,C
348959415,Stub
1166068289,C
1165752571,C
1165889187,C
1165905995,C
1177836881,C
1164314017,C
1177947751,C
1166069113,C
1166205728,C
1166230657,C
1165537934,C
1158612343,GA
1165751151,C
1166206829,C
1166331319,C
1144752979,C
1166069407,C
1166206088,C
1166208968,Start
1135170013,C
1166231326,C
1166331527,Start
1166029689,C
1166068885,Start
1144754911,C
1165750992,C
1178846594,GA
1174331705,C
1165890459,GA
1166067508,C
1166068877,Start
1176321971,C
1166229569,C
1163400900,C
1160273773,C
1166182489,C
1166209021,C
1166017755,C
1148926606,C
1166206172,Start
1178909921,C
1178910007,C
1178910105,GA
1166017442,Start
1158611789,C
1166229759,Start
1166069571,C
1169199856,GA
1179141586,C
1168820544,Start
1166017310,Start
1166068321,C
1180408898,Start
1166180800,Start
1166181398,Start
1166205930,Start
1166206220,C
1166210466,Start
1165896683,C
1166229671,C
1166230019,C
1166230687,Start
1165814013,C
1096813187,Start
1096814086,Start
1173068585,C
1096817791,C
1166230534,Start
1171375371,C
1166014939,C
1166018463,GA
1180017307,B
1166066982,Start
1166068021,C
1165748200,C
1169612470,C
1166181271,C
1166329815,Start
1166333164,Start
1166014478,C
1166018079,Start
1154496305,GA
1179231968,B
1166180119,Start
1165890044,Start
1166207749,C
1166208894,Start
1166209571,C
1175658038,C
1166211323,Start
1175606582,C
1166066155,C
1172551841,GA
1160192215,C
1166069211,C
1166180369,C
1165749718,C
1166181612,C
1166205391,Start
1166207510,GA
1166211388,Start
1166229333,C
1171084402,C
1166231236,C
1166331023,GA
1166331993,C
1172561590,C
1166066515,C
1145048302,C
1166067658,C
1151228134,C
1176205749,GA
1167926420,C
1162427481,GA
1165647609,C
1166244039,C
1166229176,Start
1166230040,Start
1165507856,C
1177138566,GA
1177146243,C
1165750177,C
1180291560,GA
1166229699,Start
1166229906,Start
1166230721,C
1166332454,GA
1166015313,C
1166015515,C
1142947111,C
1166069457,C
1175521277,C
1177270687,C
1166181162,C
1176609767,C
1169333757,C
1165900503,GA
1166332226,C
1166015772,Start
1166018326,Start
1179698088,C
1165749307,C
1166206718,C
1165900688,C
1165901938,Start
1166331142,C
1166015957,C
1158611853,C
1166068466,C
1178295657,Start
1165909508,GA
1172134373,C
1166208667,C
1180353697,GA
1171163550,C
1166180281,C
1168369252,C
1177928995,C
1166014593,C
1166014861,Start
1166018475,C
1096812941,C
1166019003,C
1166069580,C
1166182487,C
1166206649,C
1172196089,C
1166332930,Start
1165537046,GA
1166067175,C
1166181286,C
1166181602,Start
1171521067,C
1166210847,C
1166211442,C
1166229073,Start
1174635424,C
1166230919,C
1166231421,C
1165903151,C
1166334382,C
1177621427,C
1177623964,C
1178999596,C
1177621572,C
1170769013,C
1166017260,Start
1174837569,C
1177621993,C
1177239572,C
1165840932,C
1175530987,C
1177622200,C
1177702091,C
1177622299,GA
1180348406,C
1177622536,C
1169440818,C
1177622633,C
1179531175,C
1177622747,C
1166207284,Start
1165893352,C
1177624137,C
1172621297,C
1157496931,Start
1166209738,Start
1178582292,C
1177636010,C
1177623469,C
1177624259,Start
1177783643,C
1166331545,Start
1175000150,C
1165906191,C
1166333114,Start
1166015251,Start
1166066756,Start
1166182247,Start
1166207935,C
1165903367,C
1165906151,C
1178304592,C
1166182386,C
1166205880,Start
1166230187,C
1166330128,C
1166332754,C
1157580326,GA
1166181055,C
1165894467,C
1166209704,Start
1166331496,C
1179878794,C
1166206211,C
1175854552,C
1165896665,C
1160284984,C
1165901985,C
1176903479,GA
1175308807,C
1178063438,C
1176555126,C
1180130440,FA
1166205815,Start
1177703025,C
1169255573,C
1166015434,C
1177020476,C
1166069594,C
1166180764,C
1166206408,C
1175025748,C
1166333467,C
1166068620,GA
1167174337,C
1177701177,B
1173078483,C
1179883996,C
1172849762,C
1178614293,GA
1166066487,C
1161394946,B
1167428050,GA
1170891816,GA
1166208882,GA
1166229472,Start
1170589664,GA
1166331276,C
1166015184,GA
1166016323,GA
1173001379,C
