title,lastrevid
"Abbeville, Alabama",1171163550
"Adamsville, Alabama",1177621427
"Addison, Alabama",1168359898
"Akron, Alabama",1165909508
"Alabaster, Alabama",1179139816
"Albertville, Alabama",1179198677
"Alexander City, Alabama",1179140073
"Aliceville, Alabama",1167792390
"Allgood, Alabama",1165909718
"Altoona, Alabama",1165909823
"Andalusia, Alabama",1179141586
"Anderson, Lauderdale County, Alabama",662691565
"Anniston, Alabama",1176049382
"Arab, Alabama",1171375371
"Ardmore, Alabama",1176903479
"Argo, Alabama",1177623964
"Ariton, Alabama",1166014478
"Arley, Alabama",1166014498
"Ashford, Alabama",1166014593
"Ashland, Alabama",1174331705
"Ashville, Alabama",1148844011
"Athens, Alabama",1175308807
"Atmore, Alabama",1167926420
"Attalla, Alabama",1165507856
"Auburn, Alabama",1179878794
"Autaugaville, Alabama",1166014815
"Avon, Alabama",1166014861
"Babbie, Alabama",1168820544
"Baileyton, Alabama",1166014939
"Bakerhill, Alabama",1166014954
"Banks, Alabama",1166014997
"Bay Minette, Alabama",1177963600
"Bayou La Batre, Alabama",1177999052
"Bear Creek, Alabama",1166015184
"Beatrice, Alabama",1166015214
"Beaverton, Alabama",1166015251
"Belk, Alabama",1166015313
"Benton, Alabama",1166015434
"Berlin, Alabama",1166015476
"Berry, Alabama",1166015515
"Bessemer, Alabama",1178999596
"Billingsley, Alabama",1166015695
"Birmingham, Alabama",1179944837
"Black, Alabama",1166015772
"Blountsville, Alabama",1105978061
"Blue Springs, Alabama",1166015902
"Boaz, Alabama",1177138566
"Boligee, Alabama",1166015957
"Bon Air, Alabama",1166015981
"Brantley, Alabama",1165814013
"Brent, Alabama",1172245542
"Brewton, Alabama",1162427481
"Bridgeport, Alabama",1165537046
"Brighton, Alabama",1177621572
"Brilliant, Alabama",1166016323
"Brookside, Alabama",1170769013
"Brookwood, Alabama",1178216914
"Brundidge, Alabama",1165537457
"Butler, Alabama",1144752979
"Calera, Alabama",1165537934
"Camden, Alabama",1176316224
"Camp Hill, Alabama",1166017104
"Carbon Hill, Alabama",1175376595
"Cardiff, Alabama",1166017260
"Carolina, Alabama",1166017310
"Carrollton, Alabama",1096812581
"Castleberry, Alabama",1166017442
"Cedar Bluff, Alabama",1177836881
"Center Point, Alabama",1174837569
"Centre, Alabama",1164314017
"Centreville, Alabama",1172134285
"Chatom, Alabama",1159488446
"Chelsea, Alabama",1165539092
"Cherokee, Alabama",1166017755
"Chickasaw, Alabama",1165539195
"Childersburg, Alabama",1165539227
"Citronelle, Alabama",1165539457
"Clanton, Alabama",1158612343
"Clay, Alabama",1177621993
"Clayhatchee, Alabama",1166018079
"Clayton, Alabama",1155236230
"Cleveland, Alabama",1168466910
"Clio, Alabama",1165644511
"Coaling, Alabama",1166018304
"Coffee Springs, Alabama",1166018326
"Coffeeville, Alabama",1166029689
"Coker, Alabama",1166018360
"Collinsville, Alabama",1177947751
"Colony, Alabama",1166018463
"Columbia, Alabama",1166018475
"Columbiana, Alabama",1151357569
"Coosada, Alabama",1172561590
"Cordova, Alabama",1165645181
"Cottonwood, Alabama",1096812941
"County Line, Alabama",1166018950
"Courtland, Alabama",1157580326
"Cowarts, Alabama",1166019003
"Creola, Alabama",1139764613
