state,regional_division,population,article_title,revision_id,article_quality
Alabama,East South Central,"5,074,296","Abbeville, Alabama",1171163550.0,C
Alabama,East South Central,"5,074,296","Adamsville, Alabama",1177621427.0,C
Alabama,East South Central,"5,074,296","Addison, Alabama",1168359898.0,C
Alabama,East South Central,"5,074,296","Akron, Alabama",1165909508.0,GA
Alabama,East South Central,"5,074,296","Alabaster, Alabama",1179139816.0,C
Alabama,East South Central,"5,074,296","Albertville, Alabama",1179198677.0,C
Alabama,East South Central,"5,074,296","Alexander City, Alabama",1179140073.0,GA
Alabama,East South Central,"5,074,296","Aliceville, Alabama",1167792390.0,GA
Alabama,East South Central,"5,074,296","Allgood, Alabama",1165909718.0,C
Alabama,East South Central,"5,074,296","Altoona, Alabama",1165909823.0,C
Alabama,East South Central,"5,074,296","Andalusia, Alabama",1179141586.0,C
Alabama,East South Central,"5,074,296","Anderson, Lauderdale County, Alabama",662691565.0,Stub
Alabama,East South Central,"5,074,296","Anniston, Alabama",1176049382.0,C
Alabama,East South Central,"5,074,296","Arab, Alabama",1171375371.0,C
Alabama,East South Central,"5,074,296","Ardmore, Alabama",1176903479.0,GA
Alabama,East South Central,"5,074,296","Argo, Alabama",1177623964.0,C
Alabama,East South Central,"5,074,296","Ariton, Alabama",1166014478.0,C
Alabama,East South Central,"5,074,296","Arley, Alabama",1166014498.0,C
Alabama,East South Central,"5,074,296","Ashford, Alabama",1166014593.0,C
Alabama,East South Central,"5,074,296","Ashland, Alabama",1174331705.0,C
Alabama,East South Central,"5,074,296","Ashville, Alabama",1148844011.0,C
Alabama,East South Central,"5,074,296","Athens, Alabama",1175308807.0,C
Alabama,East South Central,"5,074,296","Atmore, Alabama",1167926420.0,C
Alabama,East South Central,"5,074,296","Attalla, Alabama",1165507856.0,C
Alabama,East South Central,"5,074,296","Auburn, Alabama",1179878794.0,C
Alabama,East South Central,"5,074,296","Autaugaville, Alabama",1166014815.0,C
Alabama,East South Central,"5,074,296","Avon, Alabama",1166014861.0,Start
Alabama,East South Central,"5,074,296","Babbie, Alabama",1168820544.0,Start
Alabama,East South Central,"5,074,296","Baileyton, Alabama",1166014939.0,C
Alabama,East South Central,"5,074,296","Bakerhill, Alabama",1166014954.0,Start
Alabama,East South Central,"5,074,296","Banks, Alabama",1166014997.0,C
Alabama,East South Central,"5,074,296","Bay Minette, Alabama",1177963600.0,C
Alabama,East South Central,"5,074,296","Bayou La Batre, Alabama",1177999052.0,C
Alabama,East South Central,"5,074,296","Bear Creek, Alabama",1166015184.0,GA
Alabama,East South Central,"5,074,296","Beatrice, Alabama",1166015214.0,C
